Time,Frequency,Proportion
0,122004,0.610832407
900,11635,0.058252476
1800,4999,0.025028288
2700,315,0.001577098
3600,8928,0.04469945
4500,165,0.000826099
5400,196,0.000981305
6300,137,0.000685912
7200,1775,0.008886819
8100,113,0.000565752
9000,77,0.000385513
9900,29,0.000145193
10800,639,0.003199255
11700,50,0.000250333
12600,41,0.000205273
13500,39,0.00019526
14400,2045,0.010238617
15300,40,0.000200266
16200,30,0.0001502
17100,36,0.00018024
18000,279,0.001396858
18900,44,0.000220293
19800,37,0.000185246
20700,56,0.000280373
21600,1699,0.008506313
22500,62,0.000310413
23400,33,0.00016522
24300,44,0.000220293
25200,145,0.000725966
26100,33,0.00016522
27000,38,0.000190253
27900,38,0.000190253
28800,231,0.001156538
29700,62,0.000310413
30600,40,0.000200266
31500,38,0.000190253
32400,54,0.00027036
33300,45,0.0002253
34200,46,0.000230306
35100,52,0.000260346
36000,115,0.000575766
36900,38,0.000190253
37800,14,7.00932E-05
38700,38,0.000190253
39600,29,0.000145193
40500,32,0.000160213
41400,40,0.000200266
42300,41,0.000205273
43200,3665,0.018349405
44100,39,0.00019526
45000,75,0.000375499
45900,43,0.000215286
46800,32,0.000160213
47700,29,0.000145193
48600,30,0.0001502
49500,53,0.000265353
50400,40,0.000200266
51300,36,0.00018024
52200,88,0.000440586
53100,66,0.000330439
54000,43,0.000215286
54900,81,0.000405539
55800,49,0.000245326
56700,75,0.000375499
57600,44,0.000220293
58500,62,0.000310413
59400,39,0.00019526
60300,18,9.01199E-05
61200,23,0.000115153
62100,53,0.000265353
63000,27,0.00013518
63900,34,0.000170226
64800,42,0.00021028
65700,24,0.00012016
66600,29,0.000145193
67500,39,0.00019526
68400,33,0.00016522
69300,16,8.01065E-05
70200,41,0.000205273
71100,31,0.000155206
72000,119,0.000595792
72900,53,0.000265353
73800,32,0.000160213
74700,30,0.0001502
75600,18,9.01199E-05
76500,39,0.00019526
77400,27,0.00013518
78300,30,0.0001502
79200,140,0.000700932
80100,110,0.000550732
81000,29,0.000145193
81900,40,0.000200266
82800,71,0.000355473
83700,32,0.000160213
84600,53,0.000265353
85500,59,0.000295393
86400,14199,0.071089549
87300,34,0.000170226
88200,3,1.502E-05
89100,6,3.004E-05
90000,15,7.50999E-05
90900,14,7.00932E-05
91800,5,2.50333E-05
92700,2,1.00133E-05
93600,22,0.000110146
94500,2,1.00133E-05
95400,7,3.50466E-05
96300,5,2.50333E-05
97200,4,2.00266E-05
98100,6,3.004E-05
99000,6,3.004E-05
99900,2,1.00133E-05
100800,5,2.50333E-05
101700,4,2.00266E-05
102600,3,1.502E-05
103500,1,5.00666E-06
104400,10,5.00666E-05
105300,2,1.00133E-05
106200,4,2.00266E-05
107100,5,2.50333E-05
108000,10,5.00666E-05
108900,3,1.502E-05
109800,2,1.00133E-05
110700,4,2.00266E-05
111600,2,1.00133E-05
112500,4,2.00266E-05
113400,2,1.00133E-05
114300,5,2.50333E-05
115200,6,3.004E-05
116100,1,5.00666E-06
117000,4,2.00266E-05
117900,5,2.50333E-05
118800,5,2.50333E-05
119700,4,2.00266E-05
120600,4,2.00266E-05
121500,5,2.50333E-05
122400,2,1.00133E-05
123300,8,4.00533E-05
124200,2,1.00133E-05
125100,6,3.004E-05
126000,8,4.00533E-05
126900,7,3.50466E-05
127800,4,2.00266E-05
128700,5,2.50333E-05
129600,74,0.000370493
130500,3,1.502E-05
131400,4,2.00266E-05
132300,3,1.502E-05
133200,8,4.00533E-05
134100,2,1.00133E-05
135000,2,1.00133E-05
135900,0,0
136800,6,3.004E-05
137700,4,2.00266E-05
138600,6,3.004E-05
139500,7,3.50466E-05
140400,6,3.004E-05
141300,5,2.50333E-05
142200,3,1.502E-05
143100,1,5.00666E-06
144000,4,2.00266E-05
144900,7,3.50466E-05
145800,6,3.004E-05
146700,3,1.502E-05
147600,8,4.00533E-05
148500,12,6.00799E-05
149400,2,1.00133E-05
150300,1,5.00666E-06
151200,7,3.50466E-05
152100,5,2.50333E-05
153000,2,1.00133E-05
153900,9,4.50599E-05
154800,5,2.50333E-05
155700,23,0.000115153
156600,9,4.50599E-05
157500,3,1.502E-05
158400,11,5.50732E-05
159300,9,4.50599E-05
160200,1,5.00666E-06
161100,9,4.50599E-05
162000,8,4.00533E-05
162900,7,3.50466E-05
163800,4,2.00266E-05
164700,3,1.502E-05
165600,4,2.00266E-05
166500,2,1.00133E-05
167400,5,2.50333E-05
168300,7,3.50466E-05
169200,15,7.50999E-05
170100,9,4.50599E-05
171000,5,2.50333E-05
171900,24,0.00012016
172800,1898,0.009502639
173700,41,0.000205273
174600,6,3.004E-05
175500,2,1.00133E-05
176400,3,1.502E-05
177300,4,2.00266E-05
178200,1,5.00666E-06
179100,1,5.00666E-06
180000,4,2.00266E-05
180900,1,5.00666E-06
181800,3,1.502E-05
182700,6,3.004E-05
183600,8,4.00533E-05
184500,3,1.502E-05
185400,2,1.00133E-05
186300,1,5.00666E-06
187200,4,2.00266E-05
188100,3,1.502E-05
189000,4,2.00266E-05
189900,4,2.00266E-05
190800,2,1.00133E-05
191700,4,2.00266E-05
192600,3,1.502E-05
193500,5,2.50333E-05
194400,5,2.50333E-05
195300,3,1.502E-05
196200,3,1.502E-05
197100,3,1.502E-05
198000,2,1.00133E-05
198900,10,5.00666E-05
199800,3,1.502E-05
200700,33,0.00016522
201600,6,3.004E-05
202500,2,1.00133E-05
203400,1,5.00666E-06
204300,1,5.00666E-06
205200,4,2.00266E-05
206100,1,5.00666E-06
207000,2,1.00133E-05
207900,1,5.00666E-06
208800,2,1.00133E-05
209700,3,1.502E-05
210600,3,1.502E-05
211500,6,3.004E-05
212400,9,4.50599E-05
213300,9,4.50599E-05
214200,8,4.00533E-05
215100,4,2.00266E-05
216000,15,7.50999E-05
216900,1,5.00666E-06
217800,3,1.502E-05
218700,2,1.00133E-05
219600,2,1.00133E-05
220500,5,2.50333E-05
221400,7,3.50466E-05
222300,8,4.00533E-05
223200,7,3.50466E-05
224100,6,3.004E-05
225000,1,5.00666E-06
225900,7,3.50466E-05
226800,3,1.502E-05
227700,7,3.50466E-05
228600,4,2.00266E-05
229500,8,4.00533E-05
230400,6,3.004E-05
231300,3,1.502E-05
232200,1,5.00666E-06
233100,2,1.00133E-05
234000,2,1.00133E-05
234900,3,1.502E-05
235800,4,2.00266E-05
236700,9,4.50599E-05
237600,5,2.50333E-05
238500,4,2.00266E-05
239400,20,0.000100133
240300,10,5.00666E-05
241200,7,3.50466E-05
242100,11,5.50732E-05
243000,6,3.004E-05
243900,4,2.00266E-05
244800,4,2.00266E-05
245700,7,3.50466E-05
246600,6,3.004E-05
247500,5,2.50333E-05
248400,3,1.502E-05
249300,2,1.00133E-05
250200,4,2.00266E-05
251100,2,1.00133E-05
252000,1,5.00666E-06
252900,8,4.00533E-05
253800,4,2.00266E-05
254700,2,1.00133E-05
255600,12,6.00799E-05
256500,3,1.502E-05
257400,2,1.00133E-05
258300,3,1.502E-05
259200,1498,0.007499975
260100,40,0.000200266
261000,2,1.00133E-05
261900,2,1.00133E-05
262800,1,5.00666E-06
263700,4,2.00266E-05
264600,1,5.00666E-06
265500,2,1.00133E-05
266400,3,1.502E-05
267300,16,8.01065E-05
268200,1,5.00666E-06
269100,6,3.004E-05
270000,0,0
270900,3,1.502E-05
271800,4,2.00266E-05
272700,2,1.00133E-05
273600,8,4.00533E-05
274500,8,4.00533E-05
275400,1,5.00666E-06
276300,5,2.50333E-05
277200,5,2.50333E-05
278100,1,5.00666E-06
279000,1,5.00666E-06
279900,1,5.00666E-06
280800,10,5.00666E-05
281700,11,5.50732E-05
282600,5,2.50333E-05
283500,10,5.00666E-05
284400,12,6.00799E-05
285300,3,1.502E-05
286200,1,5.00666E-06
287100,1,5.00666E-06
288000,1,5.00666E-06
288900,0,0
289800,0,0
290700,2,1.00133E-05
291600,1,5.00666E-06
292500,0,0
293400,0,0
294300,10,5.00666E-05
295200,1,5.00666E-06
296100,0,0
297000,0,0
297900,3,1.502E-05
298800,0,0
299700,1,5.00666E-06
300600,49,0.000245326
301500,1,5.00666E-06
302400,21,0.00010514
303300,3,1.502E-05
304200,4,2.00266E-05
305100,1,5.00666E-06
306000,1,5.00666E-06
306900,3,1.502E-05
307800,0,0
308700,1,5.00666E-06
309600,2,1.00133E-05
310500,6,3.004E-05
311400,2,1.00133E-05
312300,2,1.00133E-05
313200,2,1.00133E-05
314100,2,1.00133E-05
315000,4,2.00266E-05
315900,3,1.502E-05
316800,0,0
317700,2,1.00133E-05
318600,0,0
319500,3,1.502E-05
320400,1,5.00666E-06
321300,2,1.00133E-05
322200,2,1.00133E-05
323100,1,5.00666E-06
324000,0,0
324900,4,2.00266E-05
325800,3,1.502E-05
326700,1,5.00666E-06
327600,4,2.00266E-05
328500,1,5.00666E-06
329400,1,5.00666E-06
330300,0,0
331200,2,1.00133E-05
332100,2,1.00133E-05
333000,2,1.00133E-05
333900,1,5.00666E-06
334800,6,3.004E-05
335700,2,1.00133E-05
336600,3,1.502E-05
337500,0,0
338400,2,1.00133E-05
339300,6,3.004E-05
340200,0,0
341100,2,1.00133E-05
342000,1,5.00666E-06
342900,1,5.00666E-06
343800,1,5.00666E-06
344700,1,5.00666E-06
345600,367,0.001837444
346500,9,4.50599E-05
347400,11,5.50732E-05
348300,0,0
349200,1,5.00666E-06
350100,1,5.00666E-06
351000,1,5.00666E-06
351900,5,2.50333E-05
352800,1,5.00666E-06
353700,1,5.00666E-06
354600,5,2.50333E-05
355500,4,2.00266E-05
356400,7,3.50466E-05
357300,3,1.502E-05
358200,4,2.00266E-05
359100,2,1.00133E-05
360000,65,0.000325433
360900,7,3.50466E-05
361800,5,2.50333E-05
362700,5,2.50333E-05
363600,3,1.502E-05
364500,3,1.502E-05
365400,6,3.004E-05
366300,10,5.00666E-05
367200,6,3.004E-05
368100,6,3.004E-05
369000,1,5.00666E-06
369900,1,5.00666E-06
370800,3,1.502E-05
371700,3,1.502E-05
372600,8,4.00533E-05
373500,31,0.000155206
374400,1,5.00666E-06
375300,6,3.004E-05
376200,3,1.502E-05
377100,0,0
378000,6,3.004E-05
378900,2,1.00133E-05
379800,5,2.50333E-05
380700,1,5.00666E-06
381600,0,0
382500,1,5.00666E-06
383400,1,5.00666E-06
384300,1,5.00666E-06
385200,8,4.00533E-05
386100,1,5.00666E-06
387000,3,1.502E-05
387900,2,1.00133E-05
388800,1,5.00666E-06
389700,4,2.00266E-05
390600,2,1.00133E-05
391500,3,1.502E-05
392400,3,1.502E-05
393300,4,2.00266E-05
394200,2,1.00133E-05
395100,2,1.00133E-05
396000,3,1.502E-05
396900,2,1.00133E-05
397800,13,6.50866E-05
398700,6,3.004E-05
399600,1,5.00666E-06
400500,4,2.00266E-05
401400,4,2.00266E-05
402300,3,1.502E-05
403200,2,1.00133E-05
404100,21,0.00010514
405000,1,5.00666E-06
405900,3,1.502E-05
406800,4,2.00266E-05
407700,1,5.00666E-06
408600,0,0
409500,2,1.00133E-05
410400,1,5.00666E-06
411300,3,1.502E-05
412200,3,1.502E-05
413100,2,1.00133E-05
414000,12,6.00799E-05
414900,3,1.502E-05
415800,3,1.502E-05
416700,1,5.00666E-06
417600,1,5.00666E-06
418500,2,1.00133E-05
419400,2,1.00133E-05
420300,1,5.00666E-06
421200,5,2.50333E-05
422100,1,5.00666E-06
423000,3,1.502E-05
423900,3,1.502E-05
424800,4,2.00266E-05
425700,6,3.004E-05
426600,0,0
427500,9,4.50599E-05
428400,3,1.502E-05
429300,2,1.00133E-05
430200,2,1.00133E-05
431100,0,0
432000,677,0.003389508
432900,0,0
433800,3,1.502E-05
434700,5,2.50333E-05
435600,3,1.502E-05
436500,3,1.502E-05
437400,3,1.502E-05
438300,1,5.00666E-06
439200,2,1.00133E-05
440100,1,5.00666E-06
441000,3,1.502E-05
441900,0,0
442800,0,0
443700,6,3.004E-05
444600,3,1.502E-05
445500,1,5.00666E-06
446400,2,1.00133E-05
447300,0,0
448200,0,0
449100,5,2.50333E-05
450000,2,1.00133E-05
450900,4,2.00266E-05
451800,3,1.502E-05
452700,14,7.00932E-05
453600,13,6.50866E-05
454500,13,6.50866E-05
455400,2,1.00133E-05
456300,4,2.00266E-05
457200,4,2.00266E-05
458100,0,0
459000,4,2.00266E-05
459900,3,1.502E-05
460800,1,5.00666E-06
461700,10,5.00666E-05
462600,2,1.00133E-05
463500,0,0
464400,0,0
465300,4,2.00266E-05
466200,5,2.50333E-05
467100,5,2.50333E-05
468000,2,1.00133E-05
468900,3,1.502E-05
469800,8,4.00533E-05
470700,4,2.00266E-05
471600,6,3.004E-05
472500,0,0
473400,3,1.502E-05
474300,4,2.00266E-05
475200,1,5.00666E-06
476100,3,1.502E-05
477000,2,1.00133E-05
477900,5,2.50333E-05
478800,2,1.00133E-05
479700,3,1.502E-05
480600,2,1.00133E-05
481500,2,1.00133E-05
482400,2,1.00133E-05
483300,0,0
484200,2,1.00133E-05
485100,6,3.004E-05
486000,1,5.00666E-06
486900,36,0.00018024
487800,2,1.00133E-05
488700,4,2.00266E-05
489600,5,2.50333E-05
490500,0,0
491400,2,1.00133E-05
492300,3,1.502E-05
493200,2,1.00133E-05
494100,1,5.00666E-06
495000,0,0
495900,1,5.00666E-06
496800,4,2.00266E-05
497700,2,1.00133E-05
498600,10,5.00666E-05
499500,2,1.00133E-05
500400,1,5.00666E-06
501300,2,1.00133E-05
502200,2,1.00133E-05
503100,0,0
504000,3,1.502E-05
504900,1,5.00666E-06
505800,4,2.00266E-05
506700,0,0
507600,6,3.004E-05
508500,6,3.004E-05
509400,8,4.00533E-05
510300,3,1.502E-05
511200,6,3.004E-05
512100,1,5.00666E-06
513000,4,2.00266E-05
513900,0,0
514800,7,3.50466E-05
515700,5,2.50333E-05
516600,10,5.00666E-05
517500,7,3.50466E-05
518400,42,0.00021028
519300,18,9.01199E-05
520200,10,5.00666E-05
521100,6,3.004E-05
522000,3,1.502E-05
522900,6,3.004E-05
523800,3,1.502E-05
524700,3,1.502E-05
525600,2,1.00133E-05
526500,4,2.00266E-05
527400,3,1.502E-05
528300,2,1.00133E-05
529200,8,4.00533E-05
530100,1,5.00666E-06
531000,6,3.004E-05
531900,1,5.00666E-06
532800,8,4.00533E-05
533700,4,2.00266E-05
534600,2,1.00133E-05
535500,4,2.00266E-05
536400,6,3.004E-05
537300,2,1.00133E-05
538200,3,1.502E-05
539100,4,2.00266E-05
540000,2,1.00133E-05
540900,4,2.00266E-05
541800,0,0
542700,1,5.00666E-06
543600,0,0
544500,7,3.50466E-05
545400,2,1.00133E-05
546300,7,3.50466E-05
547200,3,1.502E-05
548100,0,0
549000,1,5.00666E-06
549900,1,5.00666E-06
550800,3,1.502E-05
551700,0,0
552600,0,0
553500,2,1.00133E-05
554400,3,1.502E-05
555300,2,1.00133E-05
556200,1,5.00666E-06
557100,3,1.502E-05
558000,2,1.00133E-05
558900,2,1.00133E-05
559800,4,2.00266E-05
560700,5,2.50333E-05
561600,5,2.50333E-05
562500,1,5.00666E-06
563400,6,3.004E-05
564300,2,1.00133E-05
565200,5,2.50333E-05
566100,5,2.50333E-05
567000,3,1.502E-05
567900,7,3.50466E-05
568800,1,5.00666E-06
569700,0,0
570600,4,2.00266E-05
571500,1,5.00666E-06
572400,2,1.00133E-05
573300,9,4.50599E-05
574200,7,3.50466E-05
575100,8,4.00533E-05
576000,9,4.50599E-05
576900,8,4.00533E-05
577800,1,5.00666E-06
578700,4,2.00266E-05
579600,4,2.00266E-05
580500,4,2.00266E-05
581400,5,2.50333E-05
582300,6,3.004E-05
583200,7,3.50466E-05
584100,5,2.50333E-05
585000,4,2.00266E-05
585900,13,6.50866E-05
586800,15,7.50999E-05
587700,4,2.00266E-05
588600,13,6.50866E-05
589500,7,3.50466E-05
590400,13,6.50866E-05
591300,7,3.50466E-05
592200,7,3.50466E-05
593100,9,4.50599E-05
594000,4,2.00266E-05
594900,11,5.50732E-05
595800,15,7.50999E-05
596700,19,9.51265E-05
597600,35,0.000175233
598500,13,6.50866E-05
599400,8,4.00533E-05
600300,19,9.51265E-05
601200,7,3.50466E-05
602100,14,7.00932E-05
603000,13,6.50866E-05
603900,9,4.50599E-05
604800,15666,0.078434318
More,0,0
,199734,
